Actor	Market	MARKET IS AN ACTOR
Adoption	Selection	SELECTION IS ADOPTION
Animal	Crime	UNCONTROLLED CRIME IS A RAMPAGING ANIMAL
Animal	Crime	ADDRESSING CRIME IS CONTROLLING AN ANIMAL
Animal	Person	PEOPLE ARE ANIMALS
Attacking	Cancer	SURVIVING CANCER IS HARMING CANCER
Attacking	Criticizing	CRITICIZING IS ATTACKING
Attacking	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS ATTACKING
Back	Time	PAST IS BEHIND
Barrier	Regulation	GOVERNMENT REGULATION IS A BARRIER
Bird	Democracy	DEMOCRACY IS A BIRD
Boat	Nation	NATION IS A BOAT
Body	Economy	ECONOMY IS A BODY
Body	Group	GROUP IS A BODY
Body	Nation	NATION IS A BODY
Building	Career	CAREER IS A BUILDING
Building	Institution	INSTITUTIONS ARE BUILDINGS
Building	Mind	MIND IS A BUILDING
Building	Nation	NATION IS A BUILDING
Building	Relationship	TRUST RELATIONSHIPS ARE BUILDINGS
Building	Relationship	TRUST IN GOVERNMENT IS A BUILDING
Building	Social_group	SOCIAL GROUPS ARE BUILDINGS
Building	Theory	THEORIES ARE BUILDINGS
Bully	Nation	NATIONS WHO ABUSE POWER ARE BULLIES
Burden	Disease	DISEASES ARE BURDENS
Burden	Regulation	GOVERNMENT REGULATION IS A BURDEN
Burden	Taxation	TAXATION IS A BURDEN
Business	Government	INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS
Business	Institution	INSTITUTION IS A BUSINESS
Business	Nation	NATION IS A BUSINESS
Business	Nation	CITIZENS ARE EMPLOYERS
Citizens	Nation	COOPERATIVE NATIONS ARE GOOD CITIZENS
Cleanliness	Purity	PURITY IS CLEANLINESS
Cleanliness	Purity	PURIFYING IS CLEANSING
Commodity	Time	TIME IS A COMMODITY
Competition	Cancer	SURVIVING CANCER IS WINNING A COMPETITION
Computer	Mind	MIND IS A COMPUTER
Confinement	Regulation	GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT
Containing	Group	GROUPS ARE CONTAINERS
Containing	Relationship	RELATIONSHIPS ARE CONTAINERS
Containing	Word	WORDS ARE CONTAINERS
Containment	Essence	ESSENTIAL IS INTERNAL
Containment	Mind	MIND IS A CONTAINER
Containment	Social_group	SOCIAL GROUPS ARE CONTAINERS
Containment	Time	TIME PERIODS ARE CONTAINERS
Contents	Constituents	CONSTITUENTS ARE CONTENTS
Contents	Information	INFORMATION IS CONTENTS
Crime	Poverty	POVERTY IS A CRIME
Darkness	Evil	EVIL IS DARK
Decay	Corruption	CORRUPTION IS DECAY
Digestion	Understanding	UNDERSTANDING IS DIGESTING
Disease	Corruption	CORRUPTION IS A DISEASE
Disease	Corruption	CORRUPTION EFFECT IS DISEASE EFFECT
Disease	Crime	INCREASE IN CRIME IS SPREAD OF DISEASE
Disease	Crime	CRIME IS A DISEASE
Disease	Morality	IMMORALITY IS DISEASE
Disease	Poverty	POVERTY IS A DISEASE
Disease	Regulation	REGULATION IS A DISEASE
Disease	Taxation	TAXES ARE DISEASES
Disgusting	Badness	BAD IS STINKY
Disgusting	Idea	DISTURBING IDEAS ARE DISGUSTING FOODS
Disgusting	Idea	COGNITIVE AVERSION IS PHYSICAL DISGUST
Disgusting	Wealth	EXCESS WEALTH IS DISGUSTING
Dissect	Analysis	ANALYZING IS DISSECTING
Dividing	Distinguishing	DISTINGUISHING IS DIVIDING
Eating	Considering	ACCEPTING IS SWALLOWING
Entity	Attribute	ATTRIBUTES ARE ENTITIES
Entrapment	Welfare	GOVERNMENT ASSISTANCE IS A TRAP
Erosion	Corruption	CORRUPTION IS EROSION
Factory	Bureaucracy	BUREAUCRATS ARE FACTORY WORKERS
Factory	Institution	INSTITUTION IS A FACTORY
Family	Community	COMMUNITY IS A FAMILY
Family	Company	COMPANY IS A FAMILY
Family	Country	COUNTRY IS A CHILD
Family	Market	MARKET IS A FAMILY
Family	Market	LIBERAL MARKET IS A NURTURANT PARENT FAMILY
Family	Market	LAISSEZ-FAIRE MARKET IS A STRICT FATHER FAMILY
Family	Nation	NATION IS A FAMILY
Feeding	Communication	COMMUNICATING IS FEEDING
Fire	Anger	ANGER IS FIRE
Firmness	Certainty	CERTAIN IS FIRM
Food	Causation	Ongoing causation is nourishing
Food	Idea	INTERESTING IDEAS ARE APPETIZING FOODS
Food	Idea	INTEREST IN IDEAS IS APPETITE FOR FOOD
Food	Idea	IDEAS ARE FOOD
Force	Action	CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
Force	Causation	CAUSES ARE FORCES
Force	Compulsion	COMPULSION IS A COMPELLING FORCE
Force	Emotion	EMOTION IS A FORCE
Force	Taxation	TAXATION IS A FORCE
Force	Taxation	INCREASE IN TAXATION IS OCCURENCE OF SUDDEN DESTRUCTIVE NATURAL FORCE
Friendships	Alliances	ALLIANCES ARE FRIENDSHIPS
Front	Time	FUTURE IS AHEAD
Game	Election	ELECTION IS A GAME
