#Source	#Target	#ConceptualMetaphor
Seeing	Evaluation	ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Size	State	AMOUNT OF STATE IS SIZE OF OBJECT
Body weight	Resource	AMOUNT OF RESOURCE IS BODY WEIGHT
Motion	Legislative action	AMOUNT OF PROGRESS TOWARD ENACTING LEGISLATION IS DISTANCE MOVED ALONG A PATH
Size	Problem	AMOUNT OF PROBLEM IS SIZE
Geographic feature	Poverty	AMOUNT OF POVERTY IS SIZE OF GEOGRAPHIC FEATURE
Size	Poverty	AMOUNT OF POVERTY IS SIZE
Fluid motion	Personal weapon	AMOUNT OF GUNS IS A FLUID
Fluid motion	Problem	AMOUNT OF GUN VIOLENCE IS A FLUID
Spatial relation	Decision_making	ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS
Motion	Legislative action	ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH
Friendships	Alliances	ALLIANCES ARE FRIENDSHIPS
Location	Opportunities	AIDS TO USING EDUCATIONAL OPPORTUNITIES ARE AIDS TO ACCESSING LOCATIONS ALONG A PATH
Enablement	Change of state	AIDS TO IMPROVING ECONOMIC STATUS IS AID TO UPWARD MOTION
Downward motion	Emotion	WORSENING MOOD IS DOWNWARD MOTION
Containing	Word	WORDS ARE CONTAINERS
War	Election	WINNING AN ELECTION IS WINNING A WAR
Race	Election	WINNING AN ELECTION IS WINNING A RACE
Competition	Election	WINNING AN ELECTION IS WINNING A BOXING MATCH
Possession	wholes	WHOLES ARE POSSESSORS
Containing	wholes	WHOLES ARE CONTAINERS
Machine	Bureaucracy	WELL-FUNCTIONING BUREAUCRACY IS A SMOOTHLY FUNCTIONING MACHINE
Wealth	Well-being	WELL-BEING IS WEALTH
Verticality	Well-being	WELL-BEING IS VERTICALITY
Resource	Wealth	WEALTH REDISTRIBUTION IS RESOURCE TRANSFER
Scale	Wealth	WEALTH IS LINEAR SPATIAL SCALE
Substance	Wealth	WEALTH IS A SUBSTANCE
Resource	Wealth	WEALTH IS A RESOURCE
Speaking	Voting	VOTING IS SPEAKING
Containment	Visual_field	VISUAL FIELD IS A CONTAINER
Fluid motion	Violence	VIOLENCE IS A FLUID
Object manipulation	Understanding	UNDERSTANDING IS GRASPING
Causation	Understanding	UNDERSTANDING IS FOLLOWING
Digestion	Understanding	UNDERSTANDING IS DIGESTING
Animal	Crime	UNCONTROLLED CRIME IS A RAMPAGING ANIMAL
Verticality	Consciousness	UNCONSCIOUS IS DOWN
Building	Relationship	TRUST RELATIONSHIPS ARE BUILDINGS
Building	Relationship	TRUST IN GOVERNMENT IS A BUILDING
Containment	Time	TIME PERIODS ARE CONTAINERS
Money	Time	TIME IS MONEY
Substance	Time	TIME IS A SUBSTANCE
Resource	Time	TIME IS A RESOURCE
Moving object	Time	TIME IS A MOVING OBJECT
Motion	Time	TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES
Commodity	Time	TIME IS A COMMODITY
Speaking	Cognizing	THINKING IS SPEAKING
Perception	Thinking about	THINKING IS PERCEIVING
Object_manipulation	Thinking about	THINKING IS OBJECT MANIPULATION
Motion	Thinking about	THINKING IS MOVING
Linguistic_activity	Cognizing	THINKING IS LINGUISTIC ACTIVITY
Object	Theory	THEORIES ARE COMPLEX STRUCTURES
Building	Theory	THEORIES ARE BUILDINGS
Membership	Taxation	TAXES ARE DUES
Disease	Taxation	TAXES ARE DISEASES
Theft	Taxation	TAXATION IS THEFT
Servitude	Taxation	TAXATION IS SLAVERY
Punishment	Taxation	TAXATION IS PUNISHMENT
Investment	Taxation	TAXATION IS INVESTMENT
Causation	Taxation	TAXATION IS IMPEDIMENTS TO MOTION
Fluid motion	Taxation	TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE
Harm	Taxation	TAXATION IS CAUSING HARM
Force	Taxation	TAXATION IS A FORCE
Burden	Taxation	TAXATION IS A BURDEN
Heat	Sympathy	SYMPATHY IS WARMTH
Competition	Cancer	SURVIVING CANCER IS WINNING A COMPETITION
Attacking	Cancer	SURVIVING CANCER IS HARMING CANCER
Verticality	Control	SUBJUGATION IS DOWN
Verticality	Status	STATUS IS VERTICALITY
Physical entity	State	STATES ARE PHYSICAL OBJECTS
Spatial relation	State	STATES ARE LOCATIONS
Region	Nation	STATE OF NATION IS LOCATION ALONG PATH
Person	Society	SOCIETY IS A PERSON
Object	Society	SOCIETY IS A COMPLEX STRUCTURE
Harm	Problem	SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS
Disease	Problem	SOCIAL PROBLEMS ARE DISEASES
Object	Problem	SOCIAL PROBLEMS ARE ANIMATE ENTITIES
Plants	Organization	SOCIAL ORGANIZATIONS ARE PLANTS
Containment	Social_group	SOCIAL GROUPS ARE CONTAINERS
Object	Social group	SOCIAL GROUPS ARE COMPLEX STRUCTURES
Building	Social_group	SOCIAL GROUPS ARE BUILDINGS
Family	Social group	SOCIAL GROUP IS A FAMILY
Textile	Social group	SOCIAL GROUP IS A FABRIC
Region	Social group	SOCIAL GROUP IS A BOUNDED REGION
Person	Society	SOCIAL FUNCTIONING IS PHYSICAL HEALTH
Word	Idea	SIMPLE IDEAS ARE WORDS
Region	Similarity	SIMILARITY IS PROXIMITY
Process	Health	SICKNESS IS DOWN
Motion	Action	SEQUENCE OF ACTIONS IS A SEQUENCE OF MOVEMENTS
Smelling	Perception	SENSING IS SMELLING
Spatial relation	Change of state	SELF-INITIATED STATE CHANGE IS SELF-PROPELLED MOTION
Adoption	Selection	SELECTION IS ADOPTION
Searching	Knowing	SEEKING KNOWLEDGE IS SEARCHING
Touching	Seeing	SEEING IS TOUCHING
Spatial relation	Scale	SCALES ARE PATHS
Process	Sadness	SAD IS DOWN
Vehicle	Romantic_relationship	ROMANTIC RELATIONSHIPS ARE VEHICLES
Journey	Romantic relationship	ROMANTIC RELATIONSHIP IS A JOURNEY
Journey	Romantic relationship	ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A VEHICLE ENCOUNTERING OBSTACLES
Territory	Rights	RIGHTS ARE TERRITORIES
Protecting	Rights	RIGHTS ARE SHIELDS FROM HARM
Physical entity	Rights	RIGHTS ARE POSSESSIONS
Physical entity	Rights	RIGHTS ARE PHYSICAL ENTITIES
Liquid	Resource	RESOURCE IS A LIQUID
Object	Relationship	RELATIONSHIPS ARE PHYSICAL STRUCTURES
Object	Relationship	RELATIONSHIPS ARE OBJECTS
Containing	Relationship	RELATIONSHIPS ARE CONTAINERS
Object	Relationship	RELATIONSHIPS ARE COMPLEX STRUCTURES
Region	Relationship	RELATIONSHIP IS A BOUNDED REGION IN SPACE
Proximity	relatedness	RELATEDNESS IS PROXIMITY
Disease	Regulation	REGULATION IS A DISEASE
Verticality	Quantity	QUANTITY IS VERTICALITY
Size	Quantity	QUANTITY IS SIZE
Substance	Quality	QUALITIES ARE SUBSTANCES
Cleanliness	Purity	PURITY IS CLEANLINESS
Cleanliness	Purity	PURIFYING IS CLEANSING
showing	Reasoning	PROVING IS SHOWING
Resource	Education	PROVIDE EDUCATIONAL OPPORTUNITY IS PROVIDING A RESOURCE
Forward motion	Life	PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN
Motion	Life	PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH
Portals	Opportunities	PREVENTING UTILIZATION OF EDUCATIONAL RESOURCES IS CLOSING A PORTAL
Causation	Legislative action	PREVENTING ENACTMENT OF LEGISLATION IS BLOCKING MOTION
Spatial relation	Change of state	PREVENTED CHANGE OF STATE IS PREVENTED CHANGE OF LOCATION
Food_preparation	Cognizing	PREPARING IDEAS TO BE UNDERSTOOD IS FOOD PREPARATION
centrality	Power	POWER IS CENTRALITY
Possession	Power	POWER IS A POSSESSED OBJECT
Harm	Poverty	POVERTY IS PHYSICAL HARM
Weed	Poverty	POVERTY IS A WEED
Plants	Poverty	POVERTY IS A PLANT
Causation	Poverty	POVERTY IS A MOTION IMPEDIMENT
Fierce animal	Poverty	POVERTY IS A FIERCE CREATURE
Disease	Poverty	POVERTY IS A DISEASE
Crime	Poverty	POVERTY IS A CRIME
Verticality	positivity	POSITIVITY IS VERTICALITY
stage actors	politicians	POLITICIANS ARE STAGE ACTORS
wildfire	political unrest	POLITICAL UNREST IS A WILDFIRE
Vehicle	Political region	POLITICAL REGION IS A VEHICLE
sports teams	political parties	POLITICAL PARTIES ARE SPORTS TEAMS
Person	Political party	POLITICAL PARTIES ARE PEOPLE
Containment	Political party	POLITICAL PARTIES ARE CONTAINERS
Object	Ideology	POLITICAL IDEOLOGIES ARE LIVING ENTITIES
Verticality	Physical_strength	PHYSICAL STRENGTH IS VERTICALITY
Race	Election	PHASE OF AN ELECTION IS LEG IN A RACE
Persistence	Erectness	PERSISTING IS REMAINING ERECT
Plants	Person	PEOPLE ARE PLANTS
Animal	Person	PEOPLE ARE ANIMALS
Back	Time	PAST IS BEHIND
Heat	Desire	PASSION IS HEAT
Food	Causation	Ongoing causation is nourishing
Object	Organization	ORGANIZATION IS PHYSICAL STRUCTURE
Machine	Organization	ORGANIZATION IS A MACHINE
Portals	Opportunities	OPPORTUNITIES ARE PORTALS
Physical path	Opportunities	OPPORTUNITIES ARE PATHS
Object	Opportunities	OPPORTUNITIES ARE OBJECTS
Location	Opportunities	OPPORTUNITIES ARE LOCATIONS
Process	Time	NOW IS HERE
Space	Perception	NONVISUAL PERCEPTUAL SPACE IS PHYSICAL SPACE
Machine	Legislative branch	NONFUNCTIONAL LEGISLATURE IS A BROKEN MACHINE
Machine	Bureaucracy	NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE
Harm	State	NEGATIVELY EVALUATED CONDITIONS ARE HARMFUL AGENTS
Harm	Law	NEGATIVELY AFFECTING A LAW IS CAUSING HARM TO A PHYSICAL STRUCTURE
agent	Natural process	NATURE IS AN AGENT
Nuclear family	Nature	NATURE IS A STRICT FATHER
Resource	Nature	NATURE IS A RESOURCE
Bully	Nation	NATIONS WHO ABUSE POWER ARE BULLIES
stage	national politics	NATIONAL POLITICS IS A STAGE
sports field	national politics	NATIONAL POLITICS IS A SPORTS FIELD
battlefield	national politics	NATIONAL POLITICS IS A BATTLEFIELD
Containing	Nation	NATION IS CONTAINER
Object	Nation	NATION IS AN OBJECT
Vehicle	Nation	NATION IS A VEHICLE
System	Nation	NATION IS A SYSTEM
Person	Nation	NATION IS A PERSON
Machine	Nation	NATION IS A MACHINE
Family	Nation	NATION IS A FAMILY
Object	Nation	NATION IS A COMPLEX STRUCTURE
Business	Nation	NATION IS A BUSINESS
Building	Nation	NATION IS A BUILDING
Body	Nation	NATION IS A BODY
Boat	Nation	NATION IS A BOAT
Mass	Multiplex	MULTIPLICITY IS MASS
Verticality	Quantity	MORE IS UP
Size	Quantity	MORE IS BIG
wholeness	Morality	MORALITY IS WHOLENESS
Upright_posture	Morality	MORALITY IS UPRIGHTNESS
Physical strength	Morality	MORALITY IS STRENGTH
Straightness	Morality	MORALITY IS STRAIGHTNESS
Purity	Morality	MORALITY IS PURITY
Straight_path	Morality	MORALITY IS A STRAIGHT PATH
Natural order	Moral order	MORAL ORDER IS THE NATURAL ORDER
Straightness	Morality	MORAL IS STRAIGHT
Increase size	Morality	MORAL GROWTH IS PHYSICAL GROWTH
Destructive force	Corruption	MORAL CORRUPTION IS A DESTRUCTIVE FORCE
