#source	#target	#sentence
protected	firearms	"If one has ""constitutionally protected firearms"" nobody is coming for them as they are indeed constitutionally protected."
inhibiting	taxes	In an uncertain environment such as Obama has brought us, the additional taxes can be very inhibiting - particularly for those businesses that would otherwise be expanding and hiring.
greedy	Government	Government is greedy to the point of being predatory on those who it was Constituted to serve.
evil	democracy	"It's called ""Democracy"", and the bulwarks against the tyranny of the masses have been eroded something fierce since we were founded (we're a republic precisely b/c the founders of this nation saw how evil democracy is, as bad or worse than arbitrary divine right kings)."
evil	gun	"At the ripe old age of 18, their ""good boy"" has accumulated two armed robbery charges yet they blame others for his actions - obviously he was raised well, but the evil gun made him do bad things."
evil	gun	It is OK, in some circles, to say that the evil gun allowed it to happen, but quite silly to use that same argument for a knife or a car - is it not?
evil	gun	They push gun control for voter support plain and simple and they fuel that angst for the evil gun through emotion therefore brainwashing their followers into believing it's a real problem when it's not.
evil	gun	Because in your mind it is the evil gun's fault not the fact this person needed Mental help.
evil	gun	These cry baby gun control advocates are always crying wolf and every gun gets nastier and more evil to them.
evil	guns	Your implication will be that guns are evil and have no place in society, much less in our schools.
evil	guns	"Is it the mainstream left media (like Piers Morgan) who keeps spewing on about ""evil"" guns?"
evil	guns	"Any tragedy by a crazy using a gun becomes a poster child against the evil inanimate object ""guns"" and is a money maker for anti-gun candidates."
evil	guns	Can you get back to me on that. feeds@yuku.com (Unregistered(d)) 12/04/06 http://guncontrol4778.yuku.com/reply/5813 Mon, 02 Oct 2006 02:01:39 PST http://guncontrol4778.yuku.com/reply/5812/More-Guns-Less-Freedom#reply-5812 I totally agree G, guns are evil and lessen the freedom of people.
evil	guns	And too many people are focused on the evil guns....decades down the road nobody will remember the name of the guy who walked into Sandy Hook that day, just that he had guns.
evil	wealthy	I don't think anyone these days seriously suggests that the wealthy are inherently evil just like no one believes Blacks are inherently shiftless, lazy, lying, cheating, ignorant, sex crazed and drug addled.
destructive	taxes	Personal and corporate income taxes are generally considered the most destructive taxes because economic growth arises from production, innovation, and risk-taking, which are stunted when government takes dollars out of the hands of businesses and individuals through these levies.
dangerous	wealth	The delegates spoke in contradictions by suggesting that wealth was the root of poverty, then they discussed the need to eliminate this dangerous wealth.
destructive	bullet	The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.
corrupt	taxation	Sorry, but those who have benefitted most from corrupt taxation now need to give back.
corrupt	democracy	It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.
preserve	wealth	CFG specializes in helping individuals and small businesses build, protect and preserve wealth and the management of trust and retirement plans.
quest	poverty	During his yearlong poverty quest, Ryan repeatedly stressed the inadequacy of federal programs, along with the need for better-off members of society to give their time to the poor.
competitive	elections	One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.
fight	poverty	Opportunity Link seeks to unite people, link resources, and fight poverty in eleven North-central Montana counties.
defeated	voters	Their only purpose is to confuse and tire apathetic and defeated voters into staying away from the polls so the six incumbents and the anointed incumbent for Greig Smith's seat can eke out re-election despite the Council's grotesque failures on every level and its total loss of credibility.
overcome	poverty	It works with governments to develop and finance programmes and projects that enable poor rural people to improve their livelihoods sustainably and overcome poverty themselves.
sacred	Constitution	3) And finally, all of what Obama is doing flies in the face of, and gives the middle finger to, both the 5th Amendment and the 14th Amendment of our sacred Constitution.
sacred	guns	"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1."
sacred	guns	We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.
sacred	guns	The gun freaks act like we are trying to take their sacred guns away when I have not heard the president say that.
sacred	guns	"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1."
sacred	guns	We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.
corrupt	government	Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.
strengthen	democracy	Moreover, our pending bilateral free trade agreement is part of a regional strategy that encompasses pending free trade agreements with Peru , and Panama and complements existing agreements with Chile, Central America and the Dominican Republic, Mexico and Canada.Completing these agreements would solidify open markets and strengthen democracy along the Pacific coast of the Americas.
steals	democracy	It causes and/or exacerbates depression, alcoholism, murder, mayhem, destruction, road rage, callousness, disrespect, theft, sexual perversions of all kinds, cuddles criminals, makes crime profitable, in short, a democracy nurtures and breeds every conceivable pathogen designed to convulse life and, above all, a democracy steals liberties.
unsung	campaign	"President Obama called him ""the unsung hero of this campaign, who built the...best political campaign, I think, in the history of the United States of America."""
butchered	democracy	And baby, the purveyors of that distraction and division will have the blood of a butchered democracy on their greedy hands.
arthritic	democracy	Today, Victoria's Parliament reconvenes in what is, by any measure, a dismal caricature of a decrepit and arthritic democracy.
young	democracy	Jihadi wave tests Tunisia's young democracy
young	election	Ah well, this election is still young.
arthritic	democracy	Today, Victoria's Parliament reconvenes in what is, by any measure, a dismal caricature of a decrepit and arthritic democracy.
young	democracy	Jihadi wave tests Tunisia's young democracy
young	election	Ah well, this election is still young.
