#Source	#Target	#Sentence
transparency	Government	Government transparency enables the public to hold the government accountable for how they spend their money.
transparency	authorities	Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.
hot	temper	He has a hot temper.
burning	rage	He's burning with rage.
inflammatory	remarks	Those are inflammatory remarks.
consumed	anger	He was consumed by his anger.
oceans	poverty	WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR
flood	guns	flood of guns
flood	violence	We have not found a way to stem this rising flood of gun violence.
ocean	violence	We are drowning in an ocean of gun violence.
path	life	He started going down a bad life path.
impenetrable	remark	That remark is completely impenetrable.
possesses	parts	The eye possesses several parts.
belongs	part	Which car part belongs to which car?
hum	bureaucracy	Despite the debt crisis, the welfare bureaucracy continued to hum along, producing checks every month.
cost	human	The human cost of that disaster is enormous.
spoken	voters	The voters of Dillon have clearly spoken.
full	view	The island is now in full view.
rebuild	trust	We are working hard to rebuild the trust of our customers.
foundations	trust	The scandals have shaken the foundations of trust in the market.
collapsed	trust	It is how, in every Western country, trust in government has suddenly, dramatically collapsed in the crisis' aftermath.
full	morning	My morning has been very full.
spent	day	We spent all day at the fair.
theft	time	Time-theft
flow	time	The flow of time
sands	days	Like sands through the hourglass, so are the days of our lives.
valuable	time	Our time is valuable.
flies	time	Time flies.
come	time	The time will come when…
gone	time	The time has long since gone when…
arrived	time	The time for action has arrived.
back	time	You can't go back in time!
ahead	future	We're looking ahead to the future.
front	future	He has a great future in front of him.
waste	time	Don't waste your time.
think	hear	I can barely hear myself think.
articulate	thinker	He's an articulate thinker.
listen	conscience	She doesn't listen to her conscience.
toss	ideas	Let's toss some ideas around.
read	mind	I can't read her mind.
misread	intentions	I misread his intentions.
interconnected	factors	Her theory requires the reader to understand  many interconnected factors.
dismantle	theory	Opponents tried to dismantle the theory piece by piece.
foundation	theory	This theory has a solid foundation.
filled	framework	The theoretical framework needs to be filled in with empirical data.
lost	control	The dummies were 2-to-1 in favor of the Arizona immigration law; the court gutted it. Only those dummies, not in a state of denial, understand that we the people have lost control of our government.
gave	control	But meanwhile, you may not have noticed that our government gave away control of the Internet.
disease	taxes	"During a panel discussion that included Washington Governor Christine Gregoire and Nevada Governor Brian Sandoval, Brown accused California lawmakers of adhering to ""the notion that taxes are like some kind of sexually transmitted disease,"" the Los Angeles Times reports."
infect	taxes	Those insidious taxes infect every aspect of our lives.
steals	taxes	Government steals the people's wealth through overt and hidden taxes
slaves	tax	America Tax Slaves Work 6.5 Months Every Year to Pay for Government
punishes	taxation	The state cannot pay its bills and poorly educates its young, and its taxation punishes whatever success that its suffocating regulatory regime does not prevent.
hurt	taxes	High sales taxes hurt local small businesses.
death	taxed	We are being taxed to death!
burden	tax	According to the Tax Foundation, Texas residents on average shoulder the fifth lowest tax burden compared to other residents in the 50 states.
heavy load	tax plan	"The Obama campaign is taking a swipe at Mitt Romney's tax plan in a new television ad, saying it will create a ""heavy load"" for the middle class."
heavy	taxes	President Obama decided to target certain and specific products or services he deems unhealthy and levied heavy taxes on them.
impose	taxes	Remember when President Obama literally laughed out loud at the idea his health-care plan would impose taxes on the middle class?
burden	tax	The new president delivered on his tax cut promises, which, combined with a recession in 2001, caused the tax burden to fall considerably.
burdensome	taxes	New Taxes Burdensome for Farm and Ranch Families
under	control	He is under my control.
fell	power	He fell from power.
decline	power	His power is on the decline.
fell	status	She fell in status.
climber	social	He's a social climber.
plateau	career	I reached a plateau in my career some years back.
steps	independence	East Timor took the first steps toward independence in the 1990s.
moving	recession	The country is slowly moving out of recession.
suffering	society	Our society is suffering from many social problems.
part	society	Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ...
ills	social	A cure for social ills? Prevention
curing	problem	UW researcher is a leader in showing how prevention techniques can pay off in curing social problems.
gangrene	dishonesty	Our society is turning gangrene with dishonesty.
growing	business	My business is growing like a weed.
circle	friends	Our circle of friends is quite diverse.
penetrated	group	He's hasn't penetrated that group.
foundations	establishment	He's about to rock the foundations of the literary establishment with his novel.
building	queues	By early afternoon, queues were already building up.
fabric	social	Cop scandals fray the social fabric.
near	color	Her hair is very near to his in color.
far	perfect	That's far from a perfect circle.
adopted	customs	They adopted the customs of their neighbors.
looking for	meaning	He's looking for meaning in his life and isn't finding any.
scoured	horizon	His eyes scoured the horizon.
shot up	temperature	The temperature shot up.
rose	consumption	Fuel consumption rose to the highest it has been in 20 years.
sank	spirits	My spirits sank.
veering	relationship	Our relationship is veering off-course.
going	relationship	It feels like this relationship is going nowhere.
toppled	dictatorship	The coup toppled the brutal dictatorship.
structure	Europe	The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe
built	relationship	Their relationship is built on a solid foundation of trust and commitment.
solid	relationship	Our relationship is rock solid.
fragile	relationship	She has a fragile relationship with her mother as it is.
build	relationship	It takes work to build any relationship.
closely	related	These ideas are closely related.
prune	legislation	I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought.
fell	income	His income fell last year.
size	bank account	What is the size of your bank account?
big	debt	He doesn't know how big our national debt is.
approach	solving	We are trying to find the most elegant approach to solving this problem.
strides	dissertation	She made great strides in her dissertation.
scrubbed clean	soul	Her soul was scrubbed clean of impurities.
cleanse	soul	You must cleanse your soul of sin.
washed	impure	The impure must be washed clean through contrition.
wounded	accusation	The accusation wounded her.
wounded	pride	My pride was wounded.
wound	psyche	She recovered from the wound to her psyche, but scars remained.
peaks	life	Life is full of peaks and valleys.
headway	writing	He hadn't made much headway in writing the termpaper.
move forward	bill	House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.
passage	bill	The Senator's filibuster halted the passage of the bill.
half-baked	ideas	They're just half-baked ideas.
raw	facts	Just give me the raw facts.
holds	power	He holds all the power.
vines	poverty	We are not free from the creeping vines of poverty.
weeds	poverty	Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.
chained	poverty	Though politically the country is free, its people remain chained by poverty.
epidemic	poverty	The epidemic of poverty is spreading in America, and it's taking its toll on American families.
symptoms	poverty	As President Obama has said, we can't treat the symptoms of poverty in isolation.
crime	poverty	He appealed to logos (logic) by trying to analyze why poverty is a crime and tries to differentiate it from being poor.
wildfire	revolution	The wildfire of revolution rapidly spread throughout the land.
ship	state	They are rocking the ship of state.
ship	state	Dirt threatens to sink ship of state
declined	strength	His strength declined as he aged.
race	Election	As Election Day drew near, the candidates pulled into the final lap of the race.
