#source	#target	#sentence
bald	assertion	Care to offer some evidence that this bald assertion is true?
black	humor	Black humor seems very Irish to me.
blind	alley	The French bourgeoisie has rushed into a blind alley.
blunt	honesty	I prefer blunt honesty, especially from people who are supposed to be reporting the truth.
breezy	disregard	A breezy disregard for the preservation of the pence was a family trait.
bright	idea	However, a bright idea occurred to one of our number, and we decided to have an indoor lawn party.
brown	threat	"He says what he calls ""the central power"" is using what he terms ""the brown threat "" to effect elections."
bubbly	actress	She started off as a bubbly actress, dancing with heroes, and running around trees, but that has all changed now for this lovely lady.
clean	conscience	A clean conscience only means that we have given up every known sin.
cloudy	future	The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.
cold	reality	In New York's five boroughs, the cold reality is that humans are outnumbered by rats.
dead	giveaway	Third, concurrent access from multiple IP addresses using the same host id is a dead giveaway that something bad is going on.
deep	understanding	Wisdom can be defined as a deep understanding of knowledge.
dirty	word	Solidarity of the European kind is now a dirty word in Germany.
dry	wit	Armed with a ukulele, her dry wit and impeccable timing is sure to be a hit. 
dumb	luck	It was pure dumb luck that I found out about it.
empty	promise	These companies are offering empty promises and inaccurate information.
fat	chance	Fat chance that gets resolved any time soon.
filthy	mind	Ok, so some girls know what we have in our filthy minds.
fresh	thinking	it will require fresh thinking and new products.
frosty	relation	Following the earlier quake, Turkey accepted help from dozens of countries, including Israel and Armenia with which it has frosty relations.
greasy	smile	One tall old guy came up to me with a greasy smile , and said, yes, and who are you?
hairy	problem	This is a solution to a hairy problem.
hard	truth	I want to thank you for sharing the hard truth about your recent engagement.
heavy	tax	Graft is an unusually heavy tax on Indian business.
hollow	mockery	Without friends or money, his “liberty” is a hollow mockery, even worse than mine.
juicy	scandal	Everyone else is telling tales of the latest juicy scandal.
lean	budget	When I was in college I lived on a very lean budget.
mad	sprint	This summer and part of the fall will be a mad sprint to finish up various projects.
murky	past	The protagonist, Trinity Pierce, is a college professor with a murky past, who lives and works in Cambridge, Massachusetts.
purple	prose	Now I read the post, the poster was showing a written example of purple prose.
quiet	revolution	We have not had many  quiet revolutions  happening on this planet.
raw	emotion	You can hear the raw emotion in the researcher’s voice.
red	alert	Interior minister Rehman Malik announced a nationwide red alert.
rich	history	What can we learn from the rich history of data visualization?
ripe	age	I carry a gun because I want to die at a ripe old age in my bed, and not on a sidewalk somewhere tomorrow afternoon.
rocky	beginning	Sammy and foster mom had a rocky beginning and are working with a behaviorist.
rosy	outlook	Experts do not see a rosy outlook in US emissions reduction until 2013.
rusty	brain	I was worried about having to get my rusty brain going again after maternity leave.
shady	tactics	None of them have this habit of practicing shady tactics.
shaky	ceasefire	The first hours of a shaky ceasefire are not “the best of times”.
shallow	argument	They are making the usual shallow argument about competing with other countries.
shiny	goal	You have a shiny goal in mind that is distracting you with its awesomeness.
sick	joke	These photos are a sick joke.
sleepy	town	Clarkdale is a sleepy little town that offers a lot.
slim	picking	It seems the Americans have very slim pickings as alternatives for the psychopath in power now.
slimy	salesman	I don’t think anyone here feels that all realtors are idiots and slimy salesmen.
small	comfort	But that may be of small comfort because there is reason to believe that Iraq, and maybe other countries, already have smallpox.
smoky	alto	Timmins’s smoky alto is eloquent and gorgeous, and it plays as a beautiful goodbye to a dear friend.
smooth	operation	Medical assistants are important members of the medical team to ensure to the smooth operation of hospitals and clinics.
spicy	language	Tim in particular, used some spicy language of his own.
stale	cliché	"The line ""It's the economy stupid"" has time and again proven to be anything but a stale cliché."
steep	discount	Many online pharmacies offer steep discounts on popular diabetes medications.
stormy	applause	The Ukrainian singer was rewarded with stormy applause.
sunny	disposition	Horses possess a sunny disposition and much natural charm.
sweet	smile	And he died with a sweet smile on his lip.
tall	tale	I suspect that someone has told you a tall tale.
thick	accent	Having a mom and dad who spoke with a thick accent is American.
thin	excuse	Flustered, I could only stammer out thin excuses.
thirsty	sponge	The only requirement is that you have to be receptive, and become a dry and thirsty sponge.
tight	budget	We all live on tight budgets, but we still need to have some fun.
warm	reception	It was great to see a warm reception for it on twitter. 
white	anger	In white anger he threw the book down - and proceeded along another line. 
wild	speculation	Most of us thought it was just wild speculation.
windy	rhetoric	Most state standards were windy rhetoric, devoid of concrete descriptions of what students should be expected to know and be able to do.
