#source	#target	#sentence
arthritic	democracy	Today, Victoria's Parliament reconvenes in what is, by any measure, a dismal caricature of a decrepit and arthritic democracy.
bald	assertion	Care to offer some evidence that this bald assertion is true?
black	humor	Black humor seems very Irish to me.
blind	alley	The French bourgeoisie has rushed into a blind alley.
blunt	honesty	I prefer blunt honesty, especially from people who are supposed to be reporting the truth.
boxy	jacket	This one was in soft light green with a boxy shaped jacket and narrow skirt and the same green-and-white check material of the little sleeveless blouse    
breezy	disregard	A breezy disregard for the preservation of the pence was a family trait.
bright	idea	However, a bright idea occurred to one of our number, and we decided to have an indoor lawn party.
brown	threat	"He says what he calls ""the central power"" is using what he terms ""the brown threat "" to effect elections."
bubbly	actress	She started off as a bubbly actress, dancing with heroes, and running around trees, but that has all changed now for this lovely lady.
butchered	democracy	And baby, the purveyors of that distraction and division will have the blood of a butchered democracy on their greedy hands.
clean	conscience	A clean conscience only means that we have given up every known sin.
cloudy	future	The Independence Day parade and the Christmas event in Fairfield all have cloudy futures.
cold	reality	In New York's five boroughs, the cold reality is that humans are outnumbered by rats.
competitive	elections	One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.
corrupt	democracy	It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.
corrupt	government	Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.
corrupt	taxation	Sorry, but those who have benefitted most from corrupt taxation now need to give back.
dangerous	wealth	The delegates spoke in contradictions by suggesting that wealth was the root of poverty, then they discussed the need to eliminate this dangerous wealth.
dead	giveaway	Third, concurrent access from multiple IP addresses using the same host id is a dead giveaway that something bad is going on.
deep	understanding	Wisdom can be defined as a deep understanding of knowledge.
defeated	voters	Their only purpose is to confuse and tire apathetic and defeated voters into staying away from the polls so the six incumbents and the anointed incumbent for Greig Smith's seat can eke out re-election despite the Council's grotesque failures on every level and its total loss of credibility.
destructive	bullet	The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.
destructive	taxes	Personal and corporate income taxes are generally considered the most destructive taxes because economic growth arises from production, innovation, and risk-taking, which are stunted when government takes dollars out of the hands of businesses and individuals through these levies.
dirty	word	Solidarity of the European kind is now a dirty word in Germany.
dry	wit	Armed with a ukulele, her dry wit and impeccable timing is sure to be a hit. 
dumb	luck	It was pure dumb luck that I found out about it.
