#source	#target	#sentence
sausage	instability	than at the neighbouring cross-sections so the beam will be further constricted etc. leading to the so-called sausage instability Fig. 3.3(a)
headlamps	eyes	such ocean-going amphipods a kind of shrimp as Cystosoma which also has enormously expanded eyes looking like headlamps compared with its bottom-dwelling relatives
rods	canals	Canals within the algae stand out as rods in this kind of preservation which is common in Ordovician rocks
canvas	body	It is her body as the canvas her appearance as art
minaret	leaves	Poplar leaves have an elegant outline resembling that of an arab minaret
art	appearance	It is her body as the canvas her appearance as art
kink	instability	will be deflected towards the weaker field which makes the field even weaker etc. leading to the so-called kink instability Fig. 3.3(b)
breasts	pears	the vegetation was supposed to be a jocular portrait by Gauguin of Madeleine the pears her breasts the dense flowers her hair
hair	flowers	the vegetation was supposed to be a jocular portrait by Gauguin of Madeleine the pears her breasts the dense flowers her hair
iron	earth	In spite of the rain the earth was still as hard as iron
monument	power station	while the power station loomed over it like a grandiose modern monument to the unknown dead
birth	Intifada	The wave-like pattern of the Intifada its pains and sufferings are all reminiscent of the process of birth
candle snuffers	tower	Its conically-roofed tower hugged about by a brood of smaller roofs shaped like candle snuffers is visible for miles
stone	sermons	Biblical motifs recur some art-experts call them sermons in stone and their messages would certainly have been clear to the often-illiterate medieval pilgrims
customers	prisoners	It may seem a little odd for prison staff to be looking at their prisoners as customers but they are the direct consumers of our service explained Mr Stephen Twinn prison director
